density,Paper,Min Time,Time opt
1,810279,878058,671094.6253296195
1,862490,821549,687968.1991749884
1,854095,845614,689580.9764586003
1,816735,741737,648486.2089159007
1,813584,821960,654292.8127032269
1,836484,831943,680483.9164037625
1,802495,792370,648587.8302313235
1,837042,854653,677632.4893569171
1,829736,786500,676624.4427130694
1,871533,824859,705587.8103228756
1,815637,816632,664365.3703929629
1,817180,778125,640319.2764712868
1,869827,830667,690307.7181537312
1,858469,813399,685089.6095134421
1,780859,746701,630414.4107754434
1,850161,824866,662512.398456732
1,834810,823521,668547.956137865
1,842710,841149,680043.2235309207
1,854610,835573,693004.7815155316
1,826999,816367,669099.2209609594
1,885101,837376,708630.5724702912
