=== START Bayesian search: 2D search ===
Grid size: 861
Initial random evals: 20, Max evals: 100, kappa=1.0
Completed computation for 260 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:700 
Completed computation for 261 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:800 
Completed computation for 262 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:1000 
Completed computation for 263 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:900 
Completed computation for 264 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:600 
Completed computation for 265 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:700 
Completed computation for 266 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:400 
Completed computation for 267 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:500 
Completed computation for 268 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:800 
Completed computation for 269 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:200 
Completed computation for 270 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:900 
Completed computation for 271 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:300 
Completed computation for 272 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:400 
Completed computation for 273 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:500 
Completed computation for 274 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:400 
Completed computation for 275 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:400 
Completed computation for 276 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:700 
Completed computation for 277 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:400 
Completed computation for 278 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:600 
Completed computation for 279 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:700 
Completed computation for 280 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:400 
Completed computation for 281 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:300 
Completed computation for 282 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:200 
Completed computation for 283 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:500 
Completed computation for 284 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:400 
Completed computation for 285 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:400 
Completed computation for 286 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:400 
Completed computation for 287 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:800 
Completed computation for 288 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:900 
Completed computation for 289 (mu,alpha):(0.1, 1.8) Algo:Area P:512 n:700 
Completed computation for 290 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:1000 
Completed computation for 291 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:700 
Completed computation for 292 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:500 
Completed computation for 293 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:700 
Completed computation for 294 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:500 
Completed computation for 295 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:900 
Completed computation for 296 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:200 
Completed computation for 297 (mu,alpha):(0.1, 1.8) Algo:Area P:4096 n:400 
Completed computation for 298 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:400 
Completed computation for 299 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:100 
Completed computation for 300 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:300 
Completed computation for 301 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:800 
Completed computation for 302 (mu,alpha):(0.1, 1.8) Algo:Area P:128 n:900 
Completed computation for 303 (mu,alpha):(0.1, 1.8) Algo:Area P:1024 n:900 
Completed computation for 304 (mu,alpha):(0.1, 1.8) Algo:Area P:2048 n:400 
Completed computation for 305 (mu,alpha):(0.1, 1.8) Algo:Area P:8192 n:900 
Completed computation for 306 (mu,alpha):(0.1, 1.8) Algo:Area P:256 n:500 
