P,n,File_number,regular,fat,jump,density,Paper,Time opt,Makespan,Model
161,4096,400,84,0.823799,0.897809,6.0,0.510039,89053.76576915494,31579.073678484558,2.8200246364360275,Amdahl
162,512,1000,11,0.103925,0.694013,7.0,0.897745,280712.874781092,93052.5133821133,3.016714590269746,Amdahl
163,1024,900,48,0.501161,0.686315,3.0,0.181487,195374.1059135209,65220.690150595656,2.9955847670792637,Amdahl
164,2048,600,7,0.319557,0.394072,2.0,0.311008,256643.07689735037,82192.64232093295,3.1224580406510194,Amdahl
165,2048,1000,41,0.513846,0.58403,6.0,0.591197,360495.6350842293,95816.18706595014,3.7623667370117815,Amdahl
166,512,700,35,0.797893,0.185489,4.0,0.384491,409821.53213926073,124631.88147921619,3.288256000593261,Amdahl
167,512,100,64,0.835771,0.109518,6.0,0.426156,72288.69313506478,24913.84589967625,2.9015469320216094,Amdahl
168,128,200,86,0.435028,0.623038,3.0,0.230753,112407.01715312232,35184.79149889694,3.194761496786085,Amdahl
169,2048,900,77,0.571137,0.35821,7.0,0.677157,477164.1849223127,150142.18635386848,3.1780820335044915,Amdahl
170,256,900,3,0.534845,0.213005,5.0,0.132059,222072.5977050809,78525.93854707525,2.8280158354548206,Amdahl
171,2048,300,43,0.340829,0.525727,8.0,0.841364,198422.0143060604,56410.57310709794,3.5174614150674826,Amdahl
172,1024,500,77,0.704449,0.783432,6.0,0.298018,71815.1154179154,26221.786440674085,2.738757543479911,Amdahl
173,2048,400,72,0.883618,0.15996,9.0,0.172318,130910.05311801893,49951.003309073225,2.6207692427719484,Amdahl
174,4096,400,58,0.686599,0.875606,6.0,0.881213,73499.06111375772,28106.307380551378,2.6150379741672007,Amdahl
175,8192,900,98,0.545468,0.62051,3.0,0.6274,348951.80487846956,112979.56032436104,3.088627747148591,Amdahl
176,2048,700,58,0.220126,0.806248,6.0,0.301839,102760.10322780306,41258.400467751984,2.490646803143071,Amdahl
177,256,100,100,0.384945,0.643933,8.0,0.250803,61803.31876227479,22637.255156617575,2.7301595681403867,Amdahl
178,1024,300,60,0.159302,0.750772,6.0,0.152271,74594.71833344769,27444.915080365914,2.717979564338777,Amdahl
179,512,100,9,0.402947,0.593761,5.0,0.506631,12629.808812404304,4328.569975217943,2.917778593094916,Amdahl
180,4096,800,88,0.806927,0.191161,7.0,0.201831,350278.0156145293,127268.05412448723,2.7522854656982885,Amdahl
181,4096,200,67,0.782643,0.855943,10.0,0.467253,75567.73184202005,28183.974685788842,2.681230475278685,Amdahl
182,256,400,72,0.883618,0.15996,9.0,0.172318,137023.09866367988,52058.54407870867,2.6320962502622254,Amdahl
183,256,600,68,0.696447,0.37295,6.0,0.689092,348908.3573017236,112000.7551504031,3.1152321860078804,Amdahl
184,1024,500,2,0.169233,0.756732,8.0,0.67342,109594.4214422616,36091.349604895346,3.036584185463557,Amdahl
185,4096,1000,22,0.644907,0.226642,4.0,0.236528,366492.6051203226,112602.3702658651,3.2547503596504948,Amdahl
