P,n,Paper,Min Time,Time opt,mtpa
3100,400,332825.598937832,510341.1722380426,269327.545716116,1.2357651648771417
2000,200,280809.60987341846,416031.5364206947,205435.18723653464,1.3669012288050681
1300,400,730297.748409023,874550.7912474135,642242.6090153535,1.1371057263370772
500,700,3017931.7498471285,3099653.4531508163,2866844.548254553,1.0527015675421127
4300,600,371346.30416229885,389840.4711521456,277514.5116622374,1.3381149041109028
2000,200,284248.12979902985,325682.0781312951,177867.76952878715,1.598086772842932
2800,500,425450.36500839103,630371.0805596497,365565.12745624443,1.163815509342626
200,600,6691967.62651415,6303811.040007991,6271185.063687249,1.0670977747512835
4500,400,253194.4776256672,261526.9482767586,171534.09013886217,1.476059233594316
4100,1000,572027.1916389936,736297.4946291074,479354.8437219363,1.1933272379131619
600,500,1910701.5912702424,1918108.6078936444,1702486.4393547198,1.1223006228433987
3400,600,424753.8488244108,664606.7602436006,340616.91486824735,1.247013375682497
3000,800,621554.528049232,883091.143751354,545731.150572493,1.1389390680689517
2000,200,294059.03565226006,320242.75991790055,193303.51299842403,1.521229651189306
500,700,3068316.1418074714,3167410.6674516955,2898113.8245593295,1.0587286516512242
2000,200,284257.78327950154,289626.9640612538,197442.3411615041,1.4397002264422303
3500,500,365676.32795555977,574104.5780999656,291854.8181750948,1.252939150506594
200,600,6905721.859831496,6194555.121200031,6150199.769662079,1.1228451299901319
2200,900,884121.8966057497,1298463.3819699734,826260.731022549,1.070027732664475
4500,900,477647.9196080133,552948.183151392,403148.3248641867,1.1847945040300594
2000,1000,1018129.2159309547,1466794.9016382934,966270.7269929155,1.0536686950037548
2000,200,300926.8422131018,358660.4750278277,216657.9146813661,1.3889492228136144
4500,400,216140.13045458365,236594.82469505776,172354.26881900092,1.2540457044412678
600,500,1836711.417645122,1841383.967168649,1664170.8900696703,1.1036795731766635
4300,600,426651.45056435815,439298.43798421137,314954.4837664354,1.3546447901365812
900,900,2098154.811267394,2356107.493853383,1962476.6655760843,1.069136182901559
2800,500,412716.6667998324,630167.345643463,350606.1337645651,1.1771518722971774
200,600,6415197.049859377,6095028.813532957,6063751.036144509,1.0579585163737735
2000,200,257669.80324489676,312402.7768963401,200553.5610665102,1.2847929594201766
3500,500,363828.7993061411,510102.55572669173,285286.43829765776,1.275310531678814
2000,200,279559.47903497313,344452.35327149543,212701.42659441868,1.3143281806381115
200,600,6558830.377489248,6064231.262766746,5972329.13815111,1.0982031006281252
600,500,1816102.4009668538,1764146.8053845344,1628263.454177019,1.1153615198498545
2900,200,183681.95618005574,212788.84552413222,139197.6286374701,1.3195767627510506
4300,900,484956.2826835414,549539.7557562744,422738.04843014135,1.1471791680082986
2800,500,448540.87156907876,756126.6837827746,359514.9778551533,1.2476277740778674
500,700,2829901.643239644,2838021.998859818,2628493.5671103117,1.07662490738022
4500,400,238035.72650109822,256583.08746543538,177615.41526975797,1.3401749287333835
3400,600,477956.1681047095,729282.2235221216,368736.560300065,1.2961995624078215
200,600,6749167.061618559,6123144.02528804,6063134.0572034465,1.1131482493942313
600,500,1911911.375267639,2022476.7425969052,1737959.422505103,1.1000897664870684
2900,200,215466.67288135266,282434.8685734421,148086.19884723678,1.4550084650604371
4300,600,335038.4116341395,403583.061381612,291683.0262180116,1.1486386985841366
3500,500,340992.82460662804,492800.67835735343,279130.8778589175,1.2216234449668364
900,900,2134886.8053435413,2419152.7587062116,2001406.8806248468,1.0666930477809797
3500,300,245163.60713866533,300837.44715671433,179479.86652842147,1.3659671799446238
200,600,6196740.862115097,5854585.811677905,5825618.632914472,1.063705204989527
2900,200,219264.185083348,282698.79378240614,140061.75324508178,1.5654822248274791
3000,800,569726.2836020717,898941.4145097147,518452.9301627593,1.0988968341315304
